rec_no,inst_name
1-1,대통령
1-1,환경부 장관
1-2,국회의장
1-2,환경부 장관
1-3,국회의장
1-3,법무부 장관
1-4,환경부 장관
1-5,국회의장
1-5,환경부 장관
1-6,환경부 장관
1-7,환경부 장관
1-8,환경부 장관
1-9,법무부 장관
1-10,국회의장
1-11,공정거래위원장
1-12,보건복지부 장관
1-12,질병관리청장
1-13,국무총리
1-14,환경부 장관
1-15,과학기술 정보통신부 장관
1-16,환경부 장관
1-17,환경부 장관
1-18,환경부 장관
1-19,환경부 장관
1-20,환경부 장관
1-21,환경부 장관
1-22,국회의장
1-22,환경부 장관
1-23,산업통상자원부 장관
1-24,국회의장
1-24,법무부 장관
1-24,고용노동부 장관
1-24,환경부 장관
1-25,법무부 장관
1-25,고용노동부 장관
1-25,환경부 장관
1-25,보건복지부 장관
1-26,국회의장
1-26,법무부 장관
1-26,고용노동부 장관
1-26,환경부 장관
1-26,공정거래위원장
2-1,대통령
2-2,국정원장
2-2,경찰청장
2-2,국방부 장관
2-2,국무조정실장
2-2,해양수산부 장관
2-2,행정안전부 장관
2-2,기획재정부
2-2,법제처장
2-2,인사혁신처장
2-3,국회의장
2-3,인사혁신처장
2-4,국회의장
2-4,행정안전부 장관
2-5,인사혁신처장
2-6,국정원장
2-6,경찰청장
2-6,국방부 장관
2-7,국정원장
2-8,국회의장
2-8,국정원장
2-8,경찰청장
2-8,국방부 장관
2-9,국무조정실장
2-10,해양수산부 장관
2-11,해양수산부 장관
2-12,해양수산부 장관
2-13,해양수산부 장관
2-14,해양수산부 장관
2-15,해양수산부 장관
2-16,해양수산부 장관
2-17,한국해양 교통안전공단이사장
2-18,해양수산부 장관
2-19,행정안전부 장관
2-19,해양경찰청장
2-20,행정안전부 장관
2-21,해양수산부 장관
2-22,해양수산부 장관
2-23,국회의장
2-23,해양수산부 장관
2-24,해양수산부 장관
2-25,해양수산부 장관
2-26,해양경찰청장
2-27,해양경찰청장
2-28,해양경찰청장
2-29,해양경찰청장
2-30,해양경찰청장
2-31,해양경찰청장
2-32,해양경찰청장
3-1,국회의장
3-1,행정안전부 장관
3-1,환경부 장관
3-1,해양수산부 장관
3-2,국회의장
3-2,행정안전부 장관
3-3,국무총리
3-3,행정안전부 장관
3-4,국회의장
3-4,행정안전부 장관
3-5,국무총리
3-6,국가인권위원장
3-7,국회의장
3-7,행정안전부 장관
3-8,행정안전부 장관
3-9,행정안전부 장관
3-10,국회의장
3-10,행정안전부 장관
3-10,보건복지부 장관
3-10,해양경찰청장
3-11,국회의장
3-11,행정안전부 장관
3-12,행정안전부 장관
3-13,행정안전부 장관
3-14,해양경찰청장
3-14,해양수산부 장관
3-14,행정안전부 장관
3-15,행정안전부 장관
3-16,행정안전부 장관
3-17,국회의장
3-17,보건복지부 장관
3-18,법무부 장관
3-19,교육부 장관
3-20,국회의장
3-20,행정안전부 장관
3-21,국가기록원장
3-22,국가기록원장
